# input	accepted basic forms
にじゅうににちずつ	22日|２２日|二十二日
にじゅうににちぐらい	22日|２２日|二十二日
にじゅうににちいじょう	22日|２２日|二十二日
にじゅうににちいか	22日|２２日|二十二日
にじゅうににちみまん	22日|２２日|二十二日
にじゅうににちはたらく	22日|２２日|二十二日
にじゅうににちやすむ	22日|２２日|二十二日
にじゅうににちにいく	22日|２２日|二十二日
にじゅうににちまちます	22日|２２日|二十二日
にじゅうににちからみっかまで	22日|２２日|二十二日
さんびゃくごじゅうににちずつ	352日|３５２日|三百五十二日
さんびゃくごじゅうににちぐらい	352日|３５２日|三百五十二日
さんびゃくごじゅうににちいじょう	352日|３５２日|三百五十二日
さんびゃくごじゅうににちいか	352日|３５２日|三百五十二日
さんびゃくごじゅうにじかんからさんじかんまで	352時間|３５２時間|三百五十二時間
にじゅうにねんみまん	22年|２２年|二十二年
にじゅうにねんすむ	22年|２２年|二十二年
ごじゅうにねんからさんねんまで	52年|５２年|五十二年
さんびゃくごじゅうにねんずつ	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんぐらい	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんいじょう	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんいか	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんまちます	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんとにねんまつ	352年|３５２年|三百五十二年
さんびゃくごじゅうにねんからさんねんまで	352年|３５２年|三百五十二年
にじゅうにさいいか	22歳|２２歳|二十二歳
にじゅうにさいまでまつ	22歳|２２歳|二十二歳
さんびゃくごじゅうにさいからさんさいまで	352歳|３５２歳|三百五十二歳
にじゅうにこずつ	22個|２２個|二十二個
にじゅうにさつとにさつよむ	22冊|２２冊|二十二冊
さんびゃくごじゅうにさつからさんさつまで	352冊|３５２冊|三百五十二冊
にじゅうにかいくりかえす	22回|２２回|二十二回
ごじゅうにかいずつ	52回|５２回|五十二回
さんびゃくごじゅうにかいずつ	352回|３５２回|三百五十二回
さんびゃくごじゅうにかいぐらい	352回|３５２回|三百五十二回
さんびゃくごじゅうにかいいじょう	352回|３５２回|三百五十二回
にじゅうにけんずつ	22件|２２件|二十二件
にじゅうにけんいじょう	22件|２２件|二十二件
にじゅうにだいずつ	22台|２２台|二十二台
にじゅうにだいいじょう	22台|２２台|二十二台
ごじゅうにまいからさんまいまで	52枚|５２枚|五十二枚
さんびゃくごじゅうにまいずつ	352枚|３５２枚|三百五十二枚
さんびゃくごじゅうにまいからさんまいまで	352枚|３５２枚|三百五十二枚
にじゅうにちゃくをきる	22着|２２着|二十二着
にじゅうにちゃくをかった	22着|２２着|二十二着
にじゅうにちゃくをかっている	22着|２２着|二十二着
ごじゅうにちゃくからさんちゃくまで	52着|５２着|五十二着
さんびゃくごじゅうにちゃくずつ	352着|３５２着|三百五十二着
さんびゃくごじゅうにちゃくぐらい	352着|３５２着|三百五十二着
さんびゃくごじゅうにちゃくいじょう	352着|３５２着|三百五十二着
さんびゃくごじゅうにちゃくみまん	352着|３５２着|三百五十二着
さんびゃくごじゅうにちゃくとにちゃくかう	352着|３５２着|三百五十二着
さんびゃくごじゅうにちゃくからさんちゃくまで	352着|３５２着|三百五十二着
にじゅうにはくずつ	22泊|２２泊|二十二泊
にじゅうにはくからさんぱくまで	22泊|２２泊|二十二泊
にじゅうにつういか	22通|２２通|二十二通
さんびゃくごじゅうにつういじょう	352通|３５２通|三百五十二通
にじゅうにえんはらった	22円|２２円|二十二円
にじゅうにえんはらっている	22円|２２円|二十二円
ごじゅうにえんからさんえんまで	52円|５２円|五十二円
さんびゃくごじゅうにえんずつ	352円|３５２円|三百五十二円
さんびゃくごじゅうにえんいじょう	352円|３５２円|三百五十二円
さんびゃくごじゅうにえんとにえんはらう	352円|３５２円|三百五十二円
さんびゃくごじゅうにえんからさんえんまで	352円|３５２円|三百五十二円
にじゅうににんからさんにんまで	22人|２２人|二十二人
にじゅうにふんまった	22分|２２分|二十二分
にじゅうにふんまっている	22分|２２分|二十二分
ごじゅうにふんからさんぷんまで	52分|５２分|五十二分
さんびゃくごじゅうにふんずつ	352分|３５２分|三百五十二分
さんびゃくごじゅうにふんいじょう	352分|３５２分|三百五十二分
さんびゃくごじゅうにふんからさんぷんまで	352分|３５２分|三百五十二分
さんびゃくごじゅうにふんかんだけ	352分間|３５２分間|三百五十二分間
にじゅうにねんかんだけ	22年間|２２年間|二十二年間
にじゅうにかいぶんだけ	22回分|２２回分|二十二回分
にじゅうさんじごふんにでた	23時5分|２３時５分|二十三時五分
にじゅうさんじごふんにでます	23時5分|２３時５分|二十三時五分
にじゅうさんじごふんにでない	23時5分|２３時５分|二十三時五分
にじゅうさんじごふんからはじめる	23時5分|２３時５分|二十三時五分
