id	normal	floating	normalTransportEqual	floatingTransportEqual
text-0/a0/m0/n0/c0	match	match	true	true
text-0/a0/m0/n0/c1	match	match	true	true
text-0/a0/m0/n0/c2	match	match	true	true
text-0/a0/m0/n0/c3	match	match	true	true
text-0/a0/m0/n1/c0	match	match	true	true
text-0/a0/m0/n1/c1	match	match	true	true
text-0/a0/m0/n1/c2	match	match	true	true
text-0/a0/m0/n1/c3	match	match	true	true
text-0/a0/m1/n0/c0	match	match	true	true
text-0/a0/m1/n0/c1	match	match	true	true
text-0/a0/m1/n0/c2	match	match	true	true
text-0/a0/m1/n0/c3	match	match	true	true
text-0/a0/m1/n1/c0	match	match	true	true
text-0/a0/m1/n1/c1	match	match	true	true
text-0/a0/m1/n1/c2	match	match	true	true
text-0/a0/m1/n1/c3	match	match	true	true
text-0/a0/m2/n0/c0	match	match	true	true
text-0/a0/m2/n0/c1	match	match	true	true
text-0/a0/m2/n0/c2	match	match	true	true
text-0/a0/m2/n0/c3	match	match	true	true
text-0/a0/m2/n1/c0	match	match	true	true
text-0/a0/m2/n1/c1	match	match	true	true
text-0/a0/m2/n1/c2	match	match	true	true
text-0/a0/m2/n1/c3	match	match	true	true
text-0/a0/m3/n0/c0	match	match	true	true
text-0/a0/m3/n0/c1	match	match	true	true
text-0/a0/m3/n0/c2	match	match	true	true
text-0/a0/m3/n0/c3	match	match	true	true
text-0/a0/m3/n1/c0	match	match	true	true
text-0/a0/m3/n1/c1	match	match	true	true
text-0/a0/m3/n1/c2	match	match	true	true
text-0/a0/m3/n1/c3	match	match	true	true
text-0/a1/m0/n0/c0	match	match	true	true
text-0/a1/m0/n0/c1	match	match	true	true
text-0/a1/m0/n0/c2	match	match	true	true
text-0/a1/m0/n0/c3	match	match	true	true
text-0/a1/m0/n1/c0	match	match	true	true
text-0/a1/m0/n1/c1	match	match	true	true
text-0/a1/m0/n1/c2	match	match	true	true
text-0/a1/m0/n1/c3	match	match	true	true
text-0/a1/m1/n0/c0	match	match	true	true
text-0/a1/m1/n0/c1	match	match	true	true
text-0/a1/m1/n0/c2	match	match	true	true
text-0/a1/m1/n0/c3	match	match	true	true
text-0/a1/m1/n1/c0	match	match	true	true
text-0/a1/m1/n1/c1	match	match	true	true
text-0/a1/m1/n1/c2	match	match	true	true
text-0/a1/m1/n1/c3	match	match	true	true
text-0/a1/m2/n0/c0	match	match	true	true
text-0/a1/m2/n0/c1	match	match	true	true
text-0/a1/m2/n0/c2	match	match	true	true
text-0/a1/m2/n0/c3	match	match	true	true
text-0/a1/m2/n1/c0	match	match	true	true
text-0/a1/m2/n1/c1	match	match	true	true
text-0/a1/m2/n1/c2	match	match	true	true
text-0/a1/m2/n1/c3	match	match	true	true
text-0/a1/m3/n0/c0	match	match	true	true
text-0/a1/m3/n0/c1	match	match	true	true
text-0/a1/m3/n0/c2	match	match	true	true
text-0/a1/m3/n0/c3	match	match	true	true
text-0/a1/m3/n1/c0	match	match	true	true
text-0/a1/m3/n1/c1	match	match	true	true
text-0/a1/m3/n1/c2	match	match	true	true
text-0/a1/m3/n1/c3	match	match	true	true
text-0/a2/m0/n0/c0	match	match	true	true
text-0/a2/m0/n0/c1	match	match	true	true
text-0/a2/m0/n0/c2	match	match	true	true
text-0/a2/m0/n0/c3	match	match	true	true
text-0/a2/m0/n1/c0	match	match	true	true
text-0/a2/m0/n1/c1	match	match	true	true
text-0/a2/m0/n1/c2	match	match	true	true
text-0/a2/m0/n1/c3	match	match	true	true
text-0/a2/m1/n0/c0	match	match	true	true
text-0/a2/m1/n0/c1	match	match	true	true
text-0/a2/m1/n0/c2	match	match	true	true
text-0/a2/m1/n0/c3	match	match	true	true
text-0/a2/m1/n1/c0	match	match	true	true
text-0/a2/m1/n1/c1	match	match	true	true
text-0/a2/m1/n1/c2	match	match	true	true
text-0/a2/m1/n1/c3	match	match	true	true
text-0/a2/m2/n0/c0	match	match	true	true
text-0/a2/m2/n0/c1	match	match	true	true
text-0/a2/m2/n0/c2	match	match	true	true
text-0/a2/m2/n0/c3	match	match	true	true
text-0/a2/m2/n1/c0	match	match	true	true
text-0/a2/m2/n1/c1	match	match	true	true
text-0/a2/m2/n1/c2	match	match	true	true
text-0/a2/m2/n1/c3	match	match	true	true
text-0/a2/m3/n0/c0	match	match	true	true
text-0/a2/m3/n0/c1	match	match	true	true
text-0/a2/m3/n0/c2	match	match	true	true
text-0/a2/m3/n0/c3	match	match	true	true
text-0/a2/m3/n1/c0	match	match	true	true
text-0/a2/m3/n1/c1	match	match	true	true
text-0/a2/m3/n1/c2	match	match	true	true
text-0/a2/m3/n1/c3	match	match	true	true
text-0/a3/m0/n0/c0	match	match	true	true
text-0/a3/m0/n0/c1	match	match	true	true
text-0/a3/m0/n0/c2	match	match	true	true
text-0/a3/m0/n0/c3	match	match	true	true
text-0/a3/m0/n1/c0	match	match	true	true
text-0/a3/m0/n1/c1	match	match	true	true
text-0/a3/m0/n1/c2	match	match	true	true
text-0/a3/m0/n1/c3	match	match	true	true
text-0/a3/m1/n0/c0	match	match	true	true
text-0/a3/m1/n0/c1	match	match	true	true
text-0/a3/m1/n0/c2	match	match	true	true
text-0/a3/m1/n0/c3	match	match	true	true
text-0/a3/m1/n1/c0	match	match	true	true
text-0/a3/m1/n1/c1	match	match	true	true
text-0/a3/m1/n1/c2	match	match	true	true
text-0/a3/m1/n1/c3	match	match	true	true
text-0/a3/m2/n0/c0	match	match	true	true
text-0/a3/m2/n0/c1	match	match	true	true
